2025-12-08 16:09:31 | INFO | Config saved to ./logs/TimeLLM_ETTh1_TimeLLM-ETTh1-GPT2_20251208_160931/config.json
2025-12-08 16:09:31 | INFO | Experiment Setting: long_term_forecast_ETTh1_512_96_TimeLLM_ETTh1_ftM_sl512_ll48_pl96_dm32_nh8_el2_dl1_df128_fc3_ebtimeF_Exp_0
2025-12-08 16:09:31 | INFO | Training iteration: 1/1
2025-12-08 16:10:28 | INFO | Epoch 001 | Iter 00100/1004 | Loss: 0.4821937 | Speed: 0.5605s/iter | ETA: 2h 19m
2025-12-08 16:11:23 | INFO | Epoch 001 | Iter 00200/1004 | Loss: 0.3005607 | Speed: 0.5445s/iter | ETA: 2h 14m
2025-12-08 16:12:16 | INFO | Epoch 001 | Iter 00300/1004 | Loss: 0.6360911 | Speed: 0.5330s/iter | ETA: 2h 11m
2025-12-08 16:13:01 | INFO | Epoch 001 | Iter 00400/1004 | Loss: 0.4388353 | Speed: 0.4511s/iter | ETA: 1h 50m
2025-12-08 16:13:56 | INFO | Epoch 001 | Iter 00500/1004 | Loss: 0.3549554 | Speed: 0.5484s/iter | ETA: 2h 13m
2025-12-08 16:14:51 | INFO | Epoch 001 | Iter 00600/1004 | Loss: 0.3759352 | Speed: 0.5484s/iter | ETA: 2h 12m
2025-12-08 16:15:43 | INFO | Epoch 001 | Iter 00700/1004 | Loss: 0.4084804 | Speed: 0.5181s/iter | ETA: 2h 4m
2025-12-08 16:16:44 | INFO | Epoch 001 | Iter 00800/1004 | Loss: 0.4121887 | Speed: 0.6169s/iter | ETA: 2h 26m
2025-12-08 16:17:45 | INFO | Epoch 001 | Iter 00900/1004 | Loss: 0.5306949 | Speed: 0.6052s/iter | ETA: 2h 22m
2025-12-08 16:18:37 | INFO | Epoch 001 | Iter 01000/1004 | Loss: 0.4684036 | Speed: 0.5242s/iter | ETA: 2h 2m
2025-12-08 16:21:55 | INFO | Epoch 001 | Train Loss: 0.4421082 | Vali Loss: 0.7923629 | Test Loss: 0.4038687 | MAE: 0.4201755 | Time: 547.29s | LR: 4.00e-04
2025-12-08 16:22:58 | INFO | Epoch 002 | Iter 00100/1004 | Loss: 0.4351336 | Speed: 2.6030s/iter | ETA: 10h 5m
2025-12-08 16:23:49 | INFO | Epoch 002 | Iter 00200/1004 | Loss: 0.3909320 | Speed: 0.5088s/iter | ETA: 1h 57m
2025-12-08 16:24:49 | INFO | Epoch 002 | Iter 00300/1004 | Loss: 0.3491062 | Speed: 0.6088s/iter | ETA: 2h 19m
2025-12-08 16:25:51 | INFO | Epoch 002 | Iter 00400/1004 | Loss: 0.4271385 | Speed: 0.6110s/iter | ETA: 2h 19m
2025-12-08 16:26:42 | INFO | Epoch 002 | Iter 00500/1004 | Loss: 0.3479965 | Speed: 0.5179s/iter | ETA: 1h 57m
2025-12-08 16:27:43 | INFO | Epoch 002 | Iter 00600/1004 | Loss: 0.4283374 | Speed: 0.6091s/iter | ETA: 2h 16m
2025-12-08 16:28:46 | INFO | Epoch 002 | Iter 00700/1004 | Loss: 0.4219693 | Speed: 0.6312s/iter | ETA: 2h 20m
2025-12-08 16:29:39 | INFO | Epoch 002 | Iter 00800/1004 | Loss: 0.3817360 | Speed: 0.5218s/iter | ETA: 1h 55m
